Year,Route,Boardings
1988,62,960
1988,67,597
1988,76,1021
1988,77,6718
1988,78,2091
1988,79,2942
1988,80,3546
1988,84,1480
1988,87,3694
1988,350,838
1990,62,1183
1990,67,430
1990,76,755
1990,77,7647
1990,78,1924
1990,79,1601
1990,80,3546
1990,84,197
1990,87,3694
1990,350,1235
1991,62,1183
1991,67,465
1991,76,755
1991,77,7644
1991,78,1924
1991,79,1788
1991,80,3546
1991,84,197
1991,87,3654
1991,350,1235
1994,62,1234
1994,67,475
1994,76,774
1994,77,6528
1994,78,1924
1994,79,1788
1994,80,2017
1994,84,220
1994,87,3654
1994,350,1220
1997,62,1237
1997,67,548
1997,76,917
1997,77,7129
1997,78,1741
1997,79,1603
1997,80,2092
1997,84,225
1997,87,3357
1997,350,1318
2001,62,1193
2001,67,493
2001,76,857
2001,77,6710
2001,78,1547
2001,79,1579
2001,80,2095
2001,84,199
2001,87,3720
2001,350,1537
2004,62,1122
2004,67,493
2004,76,626
2004,77,7595
2004,78,1547
2004,79,1579
2004,80,1872
2004,84,221
2004,87,3720
2004,350,1537
2005,62,1122
2005,67,493
2005,76,626
2005,77,7595
2005,78,1149
2005,79,1095
2005,80,1872
2005,84,221
2005,87,3720
2005,350,1537
2008,62,1122
2008,67,517
2008,76,626
2008,77,7595
2008,78,1149
2008,79,1095
2008,80,1872
2008,84,211
2008,87,3373
2008,350,1344
2009,62,1122
2009,67,517
2009,76,626
2009,77,6551
2009,78,1149
2009,79,1095
2009,80,1872
2009,84,211
2009,87,3373
2009,350,1344
2010,62,1122
2010,67,517
2010,76,626
2010,77,6551
2010,78,1149
2010,79,1095
2010,80,1872
2010,84,211
2010,87,3373
2010,350,1344
2014,62,1644
2014,67,588
2014,76,991
2014,77,7640
2014,78,1488
2014,79,1261
2014,80,2058
2014,84,356
2014,87,3796
2014,350,1653
